character_id,character_name_kr,character_name_en
C_038,파일럿 단계,Pilot stage
C_039,액침냉각 전문업,Immersion pure-play specialist
C_040,,Order Supercycle until ~2027
C_041,,Shipbuilding Revenue>50%
C_042,실리콘카바이드기반,Silicon Carbide (SiC) Based
C_043,질화갈륨기반,GaN (Gallium Nitride) Based
C_044,정부 지원 의존 단계,Government Support Dependency Stage
C_045,엔트로픽지분투자,Equity Investment in Anthropic
C_046,저가 보급형 LLM 확산,Proliferation of Low-cost LLMs
C_047,로컬 칩 및 서버 생태계,Local Chip & Server Ecosystem
C_048,클라우드 서비스 성장,Cloud Service Growth
C_049,중장기 긍정 영향,Positive Mid-to-Long Term Impact
C_050,영향 불명확,Unclear Impact
C_008,꾸준한멀티플확장성,SustainedMultipleExpansion
C_009,상업용자율주행,CommercialAutonomousDriving
