bf_id,business_field_ko,business_field_en
BF_007,검색광고,Search Advertising
BF_008,클라우드,Cloud
BF_009,AI칩,AI Chips
BF_010,AI플랫폼,AI Platform
BF_011,스트리밍,Streaming
BF_012,안드로이드,Android
BF_013,워크스페이스,Workspace
BF_014,자율주행,Autonomous Driving
BF_015,로봇플랫폼,Robotics Platform
BF_016,저전력반도체,Low Power Semiconductor
BF_017,표준아키텍처,Standard Architecture
BF_018,MCU,Microcontroller Unit
BF_019,엣지AI,Edge AI
BF_020,소프트웨어,Software
BF_021,액추에이터,Actuator
BF_022,산업용로봇제어기,Industrial Robot Controller
BF_023,웨어러블관절구동,Wearable Joint Drive
BF_024,고해상도카메라모듈,High-Resolution Camera Module
BF_025,옵티머스,Optimus Humanoid Robot
BF_026,감속기,Reducer / Gearbox
BF_027,로봇용카메라모듈,Robot Camera Module
BF_028,웨어러블부품제조,Wearable Parts Manufacturing
BF_029,비전소프트웨어,Vision Software
BF_030,액침 냉각 플루이드,Immersion Cooling Fluids
BF_031,특수합금,Special Alloys
