asset_id,character_id,relation_type,confidence,description
A_217,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_088,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_232,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_055,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_051,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_052,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_049,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_226,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_227,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_228,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_229,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_230,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_231,C_046,HAS_TRAIT,0.70,저가형 LLM 확산의 수혜 범주
A_226,C_047,HAS_TRAIT,0.85,로컬 칩 생태계 수혜
A_227,C_047,HAS_TRAIT,0.85,로컬 칩 생태계 수혜
A_228,C_047,HAS_TRAIT,0.85,로컬 칩 생태계 수혜
A_229,C_047,HAS_TRAIT,0.85,로컬 칩 생태계 수혜
A_230,C_047,HAS_TRAIT,0.85,로컬 칩 생태계 수혜
A_231,C_047,HAS_TRAIT,0.85,로컬 서버 생태계 수혜
A_051,C_048,HAS_TRAIT,0.85,클라우드/AI서비스 성장 수혜
A_052,C_048,HAS_TRAIT,0.85,클라우드/AI서비스 성장 수혜
A_049,C_048,HAS_TRAIT,0.85,클라우드/AI서비스 성장 수혜
A_217,C_049,HAS_TRAIT,0.80,중장기 수요/수익성에 긍정
A_088,C_049,HAS_TRAIT,0.80,중장기 수요/수익성에 긍정
A_232,C_049,HAS_TRAIT,0.80,중장기 수요/수익성에 긍정
A_055,C_050,HAS_TRAIT,0.75,영향 방향/강도 불명확
