from_asset_id,to_business_field_id,relation_type,confidence,description
A_049,BF_007,OPERATES,0.90,검색광고사업
A_049,BF_008,OPERATES,0.90,클라우드사업
A_049,BF_009,OPERATES,0.90,AI칩사업
A_049,BF_010,OPERATES,0.90,AI플랫폼사업
A_049,BF_014,OPERATES,0.90,자율주행사업
A_050,BF_007,OPERATES,0.90,검색광고사업
A_050,BF_008,OPERATES,0.90,클라우드사업
A_050,BF_009,OPERATES,0.90,AI칩TPU사업
A_050,BF_011,OPERATES,0.90,스트리밍플랫폼
A_050,BF_012,OPERATES,0.90,모바일OS생태계
A_050,BF_013,OPERATES,0.90,오피스소프트웨어
A_050,BF_014,OPERATES,0.90,자율주행사업
A_053,BF_014,OPERATES,0.95,자율주행상업화
A_054,BF_009,OPERATES,0.95,AI칩설계
